Main group,Taxon group,scientificName,Common name,Conservation action needed,Avoid negative impacts,Watching brief only,Link to Species Records on NBN Gateway,Threatened species,Legally protected species,S1 - on UKBAP list,S2International.Obligation,S3 - Rare in the UK (<16 10km sqs),S4 - <6 Scottish 10km sqs,S5 - >25% Scottish Decline,S6a - Endemic to Scotland,S6b - endemic sub-species/ race,Taxon Version Key,UKBAP Code
Birds,bird,Anas querquedula,Garganey,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,-,-,Yes,-,-,-,NBNSYS0000000136,
Birds,bird,Anser albifrons,Greenland White-fronted Goose,Yes,Yes,-,NBN map,-,ELD,-,Yes,-,-,-,-,-,NHMSYS0000530149,2042
Birds,bird,Anser fabalis,Bean Goose,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,Yes,-,-,-,NBNSYS0000000213,
Birds,bird,Anthus trivialis,Tree Pipit,-,Yes,-,NBN map,Red,ELD,Yes,-,-,-,-,-,-,NHMSYS0000530162,2044
Birds,bird,Apus apus,Swift,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,-,Yes,-,-,NHMSYS0000530165,
Birds,bird,Aquila chrysaetos,Golden Eagle,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NHMSYS0000530170,
Birds,bird,Asio flammeus,Short-eared Owl,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NHMSYS0000530180,
Birds,bird,Aythya ferina,Pochard,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000137,
Birds,bird,Aythya marila,Scaup,Yes,Yes,-,NBN map,Red,WCA 1981 3,-,-,Yes,Yes,Yes,-,-,NBNSYS0000000193,2072
Birds,bird,Botaurus stellaris,Bittern,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,Yes,Yes,-,-,-,-,NHMSYS0000530210,
Birds,bird,Branta leucopsis,Barnacle Goose,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000214,
Birds,bird,Calidris alpina,Dunlin,-,Yes,-,NBN map,Red,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000035,
Birds,bird,Calidris maritima,Purple Sandpiper,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,-,Yes,Yes,-,-,-,NBNSYS0000000167,
Birds,bird,Calidris temminckii,Temminck's Stint,Yes,Yes,-,NBN map,Red,WCA 1981 3,-,-,Yes,Yes,-,-,-,NBNSYS0000000174,
Birds,bird,Caprimulgus europaeus,Nightjar,Yes,Yes,-,NBN map,Red,ELD,Yes,Yes,-,-,-,-,-,NHMSYS0000530242,186
Birds,bird,Carduelis cabaret,Lesser Redpoll,Yes,Yes,-,NBN map,Red,ELD,Yes,-,-,-,Yes,-,-,NHMSYS0000530245,2129
Birds,bird,Carduelis cannabina,Linnet,-,Yes,-,NBN map,Red,ELD,Yes,-,-,-,-,-,-,NHMSYS0000530246,188
Birds,bird,Carduelis flavirostris subsp. bensonorum/pipilans,Twite,Yes,-,-,NBN map,-,-,Yes,-,-,-,Yes,-,-,NHMSYS0020193652,2130
Birds,bird,Carduelis spinus,Siskin,Yes,Yes,-,NBN map,-,ELD,-,-,-,-,Yes,-,-,NHMSYS0000530252,
Birds,bird,Carpodacus erythrinus,Common Rosefinch,-,Yes,-,NBN map,-,WCA 1981 3,-,-,Yes,Yes,-,-,-,NHMSYS0000530254,
Birds,bird,Charadrius morinellus,Dotterel,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NBNSYS0000000176,
Birds,bird,Circus aeruginosus,Marsh Harrier,Yes,Yes,-,NBN map,Amber,ELD,-,Yes,-,Yes,-,-,-,NHMSYS0000530293,
Birds,bird,Circus cyaneus,Hen Harrier,-,Yes,-,NBN map,Red,ELD,-,Yes,-,-,-,-,-,NHMSYS0000530294,
Birds,bird,Coccothraustes coccothraustes,Hawfinch,Yes,-,-,NBN map,Red,-,-,-,-,-,Yes,-,-,NHMSYS0000530302,2182
Birds,bird,Corvus cornix,Hooded Crow,Yes,-,-,NBN map,-,-,-,-,-,-,Yes,-,-,NHMSYS0000530314,
Birds,bird,Crex crex,Corn Crake,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,Yes,-,-,-,-,-,NHMSYS0000530322,244
Birds,bird,Cuculus canorus,Cuckoo,-,Yes,-,NBN map,Red,ELD,Yes,-,-,-,-,-,-,NHMSYS0000530324,2202
Birds,bird,Cygnus columbianus,Bewick's Swan,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NBNSYS0000000200,2206
Birds,bird,Cygnus cygnus,Whooper Swan,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,Yes,Yes,-,-,-,NBNSYS0000000199,
Birds,bird,Emberiza calandra,Corn Bunting,Yes,-,-,NBN map,Red,-,Yes,-,-,-,Yes,-,-,NHMSYS0001688304,457
Birds,bird,Emberiza citrinella,Yellowhammer,-,-,Yes,NBN map,Red,-,Yes,-,-,-,-,-,-,NHMSYS0000530727,2238
Birds,bird,Emberiza schoeniclus,Reed Bunting,-,-,Yes,NBN map,Amber,-,Yes,-,-,-,-,-,-,NHMSYS0000530734,279
Birds,bird,Falco columbarius,Merlin,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NHMSYS0000530743,
Birds,bird,Falco peregrinus,Peregrine Falcon,-,Yes,-,NBN map,-,WCA 1981 3,-,Yes,-,-,-,-,-,NHMSYS0000530354,
Birds,bird,Falco subbuteo,Hobby,-,Yes,-,NBN map,-,WCA 1981 3,-,-,-,Yes,-,-,-,NHMSYS0000530357,
Birds,bird,Falco tinnunculus,Kestrel,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,-,Yes,-,-,NHMSYS0000530358,
Birds,bird,Fringilla montifringilla,Brambling,-,Yes,-,NBN map,-,WCA 1981 3,-,-,Yes,Yes,-,-,-,NHMSYS0000530368,
Birds,bird,Gavia arctica,Black-throated Diver,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000219,2283
Birds,bird,Gavia immer,Great Northern Diver,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000220,
Birds,bird,Gavia stellata,Red-throated Diver,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000218,
Birds,bird,Haliaeetus albicilla,White-tailed Eagle,Yes,Yes,-,NBN map,Red,WCA 1981 3,-,Yes,Yes,-,-,-,-,NBNSYS0000000281,
Birds,bird,Hydrobates pelagicus,Storm-petrel,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000236,
Birds,bird,Jynx torquilla,Wryneck,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,-,Yes,Yes,-,-,-,NHMSYS0000530418,395
Birds,bird,Lagopus lagopus subsp. scotica,Red Grouse,Yes,-,-,NBN map,-,-,Yes,-,-,-,Yes,-,-,NHMSYS0000533983,2358
Birds,bird,Lanius collurio,Red-backed Shrike,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,Yes,Yes,Yes,-,-,-,NHMSYS0000530423,
Birds,bird,Larus argentatus,Herring Gull,Yes,Yes,-,NBN map,Red,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000038,2362
Birds,bird,Larus ridibundus,Black-headed Gull,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000351,
Birds,bird,Limosa lapponica,Bar-tailed Godwit,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000146,
Birds,bird,Limosa limosa,Black-tailed Godwit,Yes,Yes,-,NBN map,Red,WCA 1981 3,-,-,Yes,Yes,-,-,-,NBNSYS0000000145,
Birds,bird,Locustella naevia,Grasshopper Warbler,Yes,Yes,-,NBN map,Red,ELD,Yes,-,-,-,Yes,-,-,NHMSYS0000530444,2388
Birds,bird,Loxia pytyopsittacus,Parrot Crossbill,Yes,Yes,-,NBN map,Amber,ELD,-,-,Yes,-,-,-,-,NHMSYS0000530456,
Birds,bird,Loxia scotica,Scottish Crossbill,-,-,-,NBN map,Amber,ELD,Yes,Yes,-,-,-,Yes,-,NHMSYS0000530457,424
Birds,bird,Melanitta nigra,Common Scoter,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,-,-,-,Yes,-,-,NBNSYS0000000196,444
Birds,bird,Mergellus albellus,Smew,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NHMSYS0000530474,
Birds,bird,Milvus milvus,Red Kite,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NHMSYS0000530482,
Birds,bird,Motacilla flava,Yellow Wagtail,Yes,Yes,-,NBN map,Red,ELD,-,-,-,-,Yes,-,-,NHMSYS0000530496,2440
Birds,bird,Muscicapa striata,Spotted Flycatcher,Yes,Yes,-,NBN map,Red,ELD,Yes,-,-,-,-,-,-,NHMSYS0000530498,463
Birds,bird,Numenius arquata,Curlew,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000032,2458
Birds,bird,Oceanodroma leucorhoa,Leach's Storm-petrel,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,Yes,-,-,-,-,NHMSYS0000530508,
Birds,bird,Pandion haliaetus,Osprey,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NBNSYS0000000292,
Birds,bird,Panurus biarmicus,Bearded Tit,Yes,Yes,-,NBN map,Amber,WCA 1981,-,-,-,Yes,-,-,-,NHMSYS0000530526,
Birds,bird,Passer domesticus,House Sparrow,-,-,Yes,NBN map,Red,-,Yes,-,-,-,-,-,-,NHMSYS0000530537,2488
Birds,bird,Passer montanus,Tree Sparrow,Yes,-,-,NBN map,Red,-,Yes,-,-,-,Yes,-,-,NHMSYS0000530539,503
Birds,bird,Perdix perdix,Grey Partridge,Yes,Yes,-,NBN map,Red,ELD,Yes,-,-,-,Yes,-,-,NHMSYS0000530548,506
Birds,bird,Pernis apivorus,Honey-buzzard,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,Yes,Yes,-,-,-,NHMSYS0000530550,
Birds,bird,Phalaropus lobatus,Red-necked Phalarope,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,Yes,Yes,Yes,-,-,-,NBNSYS0000000172,510
Birds,bird,Philomachus pugnax,Ruff,-,Yes,-,NBN map,Red,WCA 1981 3,-,Yes,-,-,-,-,-,NBNSYS0000000153,
Birds,bird,Phylloscopus sibilatrix,Wood Warbler,Yes,Yes,-,NBN map,Red,ELD,-,-,-,-,Yes,-,-,NHMSYS0000530757,2507
Birds,bird,Plectrophenax nivalis,Snow Bunting,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,-,Yes,-,-,-,-,NHMSYS0000530776,
Birds,bird,Pluvialis apricaria,Golden Plover,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000029,
Birds,bird,Podiceps auritus,Slavonian Grebe,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,Yes,-,-,NBNSYS0000000224,
Birds,bird,Podiceps grisegena,Red-necked Grebe,Yes,Yes,-,NBN map,Amber,ELD,-,-,Yes,Yes,-,-,-,NBNSYS0000000223,
Birds,bird,Podiceps nigricollis,Black-necked Grebe,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,-,Yes,Yes,-,-,-,NBNSYS0000000225,
Birds,bird,Poecile montanus,Willow Tit,Yes,-,-,NBN map,Red,-,-,-,-,-,Yes,-,-,NHMSYS0001688302,2486
Birds,bird,Poecile palustris subsp. palustris/dresseri,Marsh Tit,-,-,Yes,NBN map,-,-,Yes,-,Yes,Yes,-,-,-,NHMSYS0020212828,2487
Birds,bird,Porzana porzana,Spotted Crake,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,Yes,-,-,-,-,NHMSYS0000530787,
Birds,bird,Prunella modularis subsp. occidentalis,Hedge Accentor,-,-,Yes,NBN map,-,-,Yes,-,-,-,-,-,-,NHMSYS0020303179,2535
Birds,bird,Puffinus mauretanicus,Balearic Shearwater,Yes,Yes,-,NBN map,CR,ELD,Yes,-,Yes,Yes,-,-,-,NHMSYS0000530798,2547
Birds,bird,Puffinus puffinus,Manx Shearwater,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000014,
Birds,bird,Pyrrhocorax pyrrhocorax,Red-billed Chough,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NHMSYS0000530800,
Birds,bird,Pyrrhula pyrrhula,Bullfinch,-,-,Yes,NBN map,Amber,-,Yes,-,-,-,-,-,-,NHMSYS0000530802,542
Birds,bird,Scolopax rusticola,Woodcock,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000031,
Birds,bird,Stercorarius parasiticus,Arctic Skua,Yes,Yes,-,NBN map,Red,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000341,2627
Birds,bird,Sterna dougallii,Roseate Tern,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,Yes,-,Yes,Yes,-,-,NBNSYS0000000364,587
Birds,bird,Sterna hirundo,Common Tern,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000138,
Birds,bird,Sterna paradisaea,Arctic Tern,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000365,
Birds,bird,Sterna sandvicensis,Sandwich Tern,Yes,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,Yes,-,-,NBNSYS0000000363,
Birds,bird,Sternula albifrons,Little Tern,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NHMSYS0001688285,
Birds,bird,Streptopelia turtur,Turtle Dove,Yes,Yes,-,NBN map,Red,ELD,Yes,-,-,Yes,Yes,-,-,NHMSYS0000530623,589
Birds,bird,Sturnus vulgaris subsp. vulgaris,Starling,-,Yes,-,NBN map,-,ELD,Yes,-,-,-,-,-,-,NHMSYS0020193673,2636
Birds,bird,Tetrao tetrix,Black Grouse,Yes,Yes,-,NBN map,Red,ELD,Yes,-,-,-,Yes,-,-,NHMSYS0000530658,596
Birds,bird,Tetrao urogallus,Capercaillie,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,Yes,-,-,Yes,-,-,NHMSYS0000530659,597
Birds,bird,Tringa glareola,Wood Sandpiper,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,Yes,Yes,-,-,-,NBNSYS0000000148,
Birds,bird,Tringa ochropus,Green Sandpiper,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,-,Yes,Yes,-,-,-,NBNSYS0000000147,
Birds,bird,Troglodytes troglodytes subsp. fridariensis,Fair Isle Wren,Yes,Yes,-,NBN map,Red,ELD,-,Yes,Yes,Yes,-,-,Yes,NHMSYS0001596569,2673
Birds,bird,Troglodytes troglodytes subsp. hirtensis,St Kilda Wren,Yes,Yes,-,NBN map,Red,-,-,-,Yes,Yes,-,-,Yes,NHMSYS0001596570,2674
Birds,bird,Turdus iliacus,Redwing,Yes,Yes,-,NBN map,Red,WCA 1981 3,-,-,-,-,Yes,-,-,NHMSYS0000530673,
Birds,bird,Turdus philomelos,Song Thrush,-,Yes,-,NBN map,Red,ELD,Yes,-,-,-,-,-,-,NHMSYS0000530678,621
Birds,bird,Turdus philomelos subsp. hebridensis,Hebridean Song Thrush,Yes,-,-,NBN map,Red,-,Yes,-,-,-,-,-,Yes,NHMSYS0020303240,2677
Birds,bird,Turdus torquatus,Ring Ouzel,Yes,Yes,-,NBN map,Red,ELD,-,-,-,-,Yes,-,-,NHMSYS0000530681,2678
Birds,bird,Tyto alba,Barn Owl,Yes,Yes,-,NBN map,Amber,WCA 1981,-,-,-,-,Yes,-,-,NHMSYS0000530685,
Birds,bird,Vanellus vanellus,Northern Lapwing,Yes,Yes,-,NBN map,Red,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000027,2687
Terrestrial invertebrates,insect - beetle (Coleoptera),Anacaena limbata,Scavenger Water Beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001716791,
Terrestrial invertebrates,insect - beetle (Coleoptera),Bembidion (Ocydromus) testaceum,Pale Pin-palp,Yes,-,-,NBN map,-,-,Yes,-,Yes,Yes,-,-,-,NHMSYS0001717175,143
Terrestrial invertebrates,insect - beetle (Coleoptera),Calosoma inquisitor,Caterpillar-hunter,-,-,Yes,NBN map,-,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000007143,2120
Terrestrial invertebrates,insect - beetle (Coleoptera),Chrysanthia nigricornis,a false blister beetle,Yes,Yes,-,NBN map,EN,-,-,-,Yes,Yes,-,-,-,NHMSYS0020151683,
Terrestrial invertebrates,insect - beetle (Coleoptera),Cryptocephalus decemmaculatus,Ten-spotted Pot Beetle,Yes,Yes,-,NBN map,VU,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000011126,247
Terrestrial invertebrates,insect - beetle (Coleoptera),Cryptocephalus sexpunctatus,Six-spotted Pot Beetle,Yes,Yes,-,NBN map,VU,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000011140,251
Terrestrial invertebrates,insect - beetle (Coleoptera),Eubrychius velutus,a weevil,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000025410,
Terrestrial invertebrates,insect - beetle (Coleoptera),Macroplea appendiculata,a leaf beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000011083,
Terrestrial invertebrates,insect - beetle (Coleoptera),Meloe violaceus,Violet Oil-beetle,-,-,Yes,NBN map,-,-,Yes,-,Yes,-,-,-,-,NBNSYS0000024952,2423
Terrestrial invertebrates,insect - beetle (Coleoptera),Meotica anglica,Shingle Rove Beetle,Yes,-,-,NBN map,-,-,Yes,-,Yes,Yes,-,Yes,-,NHMSYS0001718979,448
Terrestrial invertebrates,insect - beetle (Coleoptera),Noterus crassicornis,Smaller Noterus,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001719174,
Terrestrial invertebrates,insect - beetle (Coleoptera),Philorhizus quadrisignatus,Mab's Lantern,Yes,Yes,-,NBN map,EN,-,Yes,-,Yes,Yes,-,-,-,NHMSYS0001719554,272
Terrestrial invertebrates,insect - beetle (Coleoptera),Procas granulicollis,a weevil,-,-,Yes,NBN map,DD,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000025323,
Terrestrial invertebrates,insect - beetle (Coleoptera),Tournotaris bimaculatus,a beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0020153634,
Terrestrial invertebrates,insect - butterfly,Aricia artaxerxes,Northern Brown Argus,-,Yes,-,NBN map,VU,WCA 1981,Yes,-,-,-,-,-,-,NHMSYS0000516231,109
Terrestrial invertebrates,insect - butterfly,Boloria euphrosyne,Pearl-bordered Fritillary,Yes,Yes,-,NBN map,EN,WCA 1981,Yes,-,-,-,-,-,-,NHMSYS0000501513,151
Terrestrial invertebrates,insect - butterfly,Boloria selene,Small Pearl-bordered Fritillary,-,-,Yes,NBN map,NT,-,Yes,-,-,-,-,-,-,NHMSYS0000516240,2088
Terrestrial invertebrates,insect - butterfly,Carterocephalus palaemon,Chequered Skipper,Yes,Yes,-,NBN map,EN,WCA 1981,Yes,-,Yes,-,-,-,-,NHMSYS0000501644,192
Terrestrial invertebrates,insect - butterfly,Coenonympha pamphilus,Small Heath,Yes,-,-,NBN map,NT,-,Yes,-,-,-,Yes,-,-,NHMSYS0000519083,2183
Terrestrial invertebrates,insect - butterfly,Coenonympha tullia,Large Heath,Yes,Yes,-,NBN map,VU,WCA 1981,Yes,-,-,-,Yes,-,-,NHMSYS0000519078,2184
Terrestrial invertebrates,insect - butterfly,Cupido minimus,Small Blue,-,Yes,-,NBN map,NT,WCA 1981,Yes,-,-,-,-,-,-,NHMSYS0000502045,2203
Terrestrial invertebrates,insect - butterfly,Erebia epiphron,Small Mountain Ringlet,-,Yes,-,NBN map,NT,WCA 1981,Yes,-,-,-,-,-,-,NHMSYS0000519788,2250
Terrestrial invertebrates,insect - butterfly,Erynnis tages subsp. tages,Dingy Skipper,Yes,-,-,NBN map,-,-,-,-,-,-,-,-,Yes,NBNSYS0000042368,2255
Terrestrial invertebrates,insect - butterfly,Euphydryas aurinia form aurinia,Marsh Fritillary,Yes,-,-,NBN map,-,-,Yes,Yes,-,-,-,-,-,NHMSYS0000502585,300
Terrestrial invertebrates,insect - butterfly,Hipparchia semele,Grayling,Yes,-,-,NBN map,VU,-,Yes,-,-,-,Yes,-,-,NHMSYS0000520428,2334
Terrestrial invertebrates,insect - butterfly,Lasiommata megera,Wall,Yes,-,-,NBN map,NT,-,Yes,-,-,-,Yes,-,-,NHMSYS0000503020,2363
Terrestrial invertebrates,insect - earwig (Dermaptera),Labia minor,Lesser Earwig,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001387382,
Terrestrial invertebrates,insect - flea (Siphonaptera),Ceratophyllus (Emmareus) fionnus,Manx Shearwater Flea,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,Yes,-,NHMSYS0000545911,
Terrestrial invertebrates,insect - hymenopteran,Ammophila sabulosa,Red Banded Sand Wasp,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0000875039,
Terrestrial invertebrates,insect - hymenopteran,Ancistrocerus parietum,Wall Mason Wasp,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0000875050,
Terrestrial invertebrates,insect - hymenopteran,Andrena (Andrena) helvola,a Mining Bee,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0000875064,
Terrestrial invertebrates,insect - hymenopteran,Andrena (Euandrena) ruficrus,a Mining Bee,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0000875083,
Terrestrial invertebrates,insect - hymenopteran,Andrena (Margandrena) marginata,a Mining Bee,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0000875097,
Terrestrial invertebrates,insect - hymenopteran,Andrena (Melandrena) cineraria,Grey Mining Bee,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0000875099,
